company_name,company_email,job_title
Google,internships@google.com,Software Engineering Intern
Microsoft,careers@microsoft.com,Data Science Intern
Meta,university@meta.com,Machine Learning Intern
Amazon,university@amazon.com,Cloud Computing Intern
Deloitte,zimbabwe@deloitte.com,Actuarial Intern
PwC,pwc.zw@pwc.com,Risk Advisory Intern
Econet Wireless,careers@econet.co.zw,Technology Intern
Nyaradzo Group,hr@nyaradzo.co.zw,Data Analyst Intern
Old Mutual Zimbabwe,careers@oldmutual.co.zw,Actuarial Intern
Zimnat Insurance,hr@zimnat.co.zw,Insurance Intern
